date,close,volume,amount,pe_ttm,pe_median,pb,pb_median,dividend_yield
2011-03-25,3294.48,86895979.0,,15.6,26.99,2.45,3.71,
2011-03-28,3290.57,97684300.0,,15.56,27.21,2.44,3.75,
2011-03-29,3257.98,105280164.0,,15.41,26.51,2.42,3.68,
2011-03-30,3256.08,78336337.0,,15.31,26.11,2.42,3.64,
2011-03-31,3223.29,64503880.0,,15.02,25.69,2.38,3.56,
2011-04-01,3272.73,63094722.0,,15.02,25.69,2.38,3.56,
2011-04-06,3311.07,105823674.0,,15.36,26.29,2.44,3.62,
2011-04-07,3324.42,84681762.0,,15.41,26.62,2.45,3.63,
2011-04-08,3353.36,73929210.0,,15.5,26.82,2.47,3.65,
2011-04-11,3333.43,104420545.0,,15.47,26.6,2.46,3.62,
2011-04-12,3326.77,101938506.0,,15.44,26.57,2.46,3.59,
2011-04-13,3372.03,87036338.0,,15.61,26.71,2.48,3.64,
2011-04-14,3353.56,88972241.0,,15.56,26.59,2.47,3.6,
2011-04-15,3358.94,78514874.0,,15.61,26.45,2.48,3.61,
2011-04-18,3359.44,86582624.0,,15.63,26.71,2.48,3.63,
2011-04-19,3295.81,85106933.0,,15.28,26.18,2.43,3.53,
2011-04-20,3295.76,72343318.0,,15.27,26.12,2.43,3.56,
2011-04-21,3317.37,73240424.0,,15.36,26.3,2.44,3.56,
2011-04-22,3299.94,67171455.0,,15.25,25.66,2.42,3.53,
2011-04-25,3249.57,74421829.0,,15.02,25.23,2.39,3.43,
2011-04-26,3230.96,59096417.0,,14.95,25.1,2.37,3.39,
2011-04-27,3209.5,62443567.0,,14.87,24.63,2.36,3.37,
2011-04-28,3161.78,65050235.0,,14.58,23.7,2.31,3.28,
2011-04-29,3192.72,53683065.0,,14.16,23.54,2.28,3.31,
2011-05-03,3211.13,54998910.0,,14.14,23.66,2.27,3.31,
2011-05-04,3129.03,66716340.0,,13.8,23.01,2.22,3.22,
2011-05-05,3126.12,52567747.0,,13.83,23.06,2.22,3.19,
2011-05-06,3121.4,55352186.0,,13.76,23.29,2.22,3.19,
2011-05-09,3129.76,46027404.0,,13.78,23.41,2.22,3.22,
2011-05-10,3153.22,40932995.0,,13.86,23.6,2.23,3.24,
2011-05-11,3145.09,47688533.0,,13.82,23.5,2.22,3.24,
2011-05-12,3101.6,48799501.0,,13.64,23.19,2.19,3.17,
2011-05-13,3128.09,46895951.0,,13.76,23.19,2.22,3.23,
2011-05-16,3100.46,45194319.0,,13.64,23.22,2.19,3.21,
2011-05-17,3116.03,51203731.0,,13.69,23.15,2.2,3.25,
2011-05-18,3139.38,39641768.0,,13.79,23.36,2.22,3.29,
2011-05-19,3120.64,43110782.0,,13.73,23.17,2.21,3.24,
2011-05-20,3121.6,38468012.0,,13.75,23.28,2.21,3.21,
2011-05-23,3022.98,55902472.0,,13.36,22.28,2.15,3.08,
2011-05-24,3026.22,41608944.0,,13.33,22.34,2.14,3.11,
2011-05-25,2990.34,39289704.0,,13.2,22.18,2.12,3.06,
2011-05-26,2978.38,37003747.0,,13.2,21.97,2.12,3.04,
2011-05-27,2963.31,42770905.0,,13.16,21.7,2.11,3.02,
2011-05-30,2954.51,34671160.0,,13.2,21.42,2.12,2.95,
2011-05-31,3001.56,39689399.0,,13.35,22.19,2.15,3.02,
2011-06-01,3004.17,38419327.0,,13.33,22.31,2.15,3.04,
2011-06-02,2955.71,52617867.0,,13.13,22.15,2.12,3.0,
2011-06-03,2986.35,39076164.0,,13.22,22.4,2.14,3.03,
2011-06-07,3004.26,36852332.0,,13.29,22.33,2.15,3.06,
2011-06-08,3008.65,42908758.0,,13.31,22.15,2.15,3.06,
2011-06-09,2951.89,47496636.0,,13.12,21.66,2.12,3.0,
2011-06-10,2961.93,42201882.0,,13.12,21.64,2.13,3.04,
2011-06-13,2950.35,38351668.0,,13.09,21.84,2.13,3.02,
2011-06-14,2993.56,55982815.0,,13.22,22.23,2.15,3.06,
2011-06-15,2963.12,44390852.0,,13.1,22.07,2.15,3.0,
2011-06-16,2917.58,41135482.0,,12.94,21.49,2.13,2.94,
2011-06-17,2892.16,41176530.0,,12.87,21.21,2.12,2.91,
2011-06-20,2874.9,37991982.0,,12.79,21.14,2.11,2.88,
2011-06-21,2909.07,42038923.0,,12.91,21.58,2.13,2.92,
2011-06-22,2908.58,37318802.0,,12.94,21.49,2.13,2.9,
2011-06-23,2957.63,45941117.0,,13.13,21.9,2.17,2.97,
2011-06-24,3027.47,85459240.0,,13.38,22.33,2.22,3.06,
2011-06-27,3036.49,65615771.0,,13.41,22.43,2.23,3.09,
2011-06-28,3041.73,55766254.0,,13.41,22.66,2.23,3.1,
2011-06-29,3000.17,53476848.0,,13.28,22.21,2.21,3.06,
2011-06-30,3044.09,62502549.0,,13.43,22.5,2.23,3.1,
2011-07-01,3049.75,56766653.0,,13.56,23.97,2.26,3.27,
2011-07-04,3121.98,80464031.0,,13.8,24.53,2.3,3.38,
2011-07-05,3122.5,67763335.0,,13.79,24.45,2.3,3.39,
2011-07-06,3113.71,61555807.0,,13.74,24.39,2.29,3.37,
2011-07-07,3101.68,71810360.0,,13.65,24.26,2.27,3.33,
2011-07-08,3109.18,51282593.0,,13.67,24.35,2.28,3.36,
2011-07-11,3113.21,47920660.0,,13.66,24.0,2.28,3.35,
2011-07-12,3056.91,57107984.0,,13.43,23.38,2.24,3.26,
2011-07-13,3106.25,54114367.0,,13.63,24.09,2.27,3.3,
2011-07-14,3115.75,60314935.0,,13.68,24.13,2.28,3.36,
2011-07-15,3128.89,61550322.0,,13.73,24.5,2.28,3.34,
2011-07-18,3122.6,60691311.0,,13.7,24.76,2.28,3.35,
2011-07-19,3095.13,53388709.0,,13.6,24.64,2.26,3.35,
